fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
1999-06-30,1999-07-23,0.28,0.19,0.09,47.3684,2
1999-03-31,1999-05-24,0.23,0.18,0.05,27.7778,1
1998-12-31,1999-01-26,0.22,0.19,0.03,15.7895,4
1998-09-30,1998-10-21,0.26,0.23,0.03,13.0435,3
1998-06-30,1998-07-22,0.21,0.16,0.05,31.25,2
1998-03-31,1998-05-21,0.21,0.17,0.04,23.5294,1
1997-12-31,1998-01-22,0.26,0.2,0.06,30.0,4
1997-09-30,1997-10-27,0.37,0.31,0.06,19.3548,3
1997-06-30,1997-07-22,0.22,0.18,0.04,22.2222,2
1997-03-31,1997-05-28,0.06,-0.01,0.07,700.0,1
1996-12-31,1997-01-27,-0.04,0.04,-0.08,-200.0,4
1996-09-30,1996-10-24,0.25,0.23,0.02,8.6957,3
1996-06-30,1996-07-22,0.24,0.15,0.09,60.0,2
1996-03-31,1996-05-29,0.04,-0.01,0.05,500.0,1
