Date,Quarter,Price
2006-06-02 00:00:00-04:00,2,71.29000091552734
2006-06-05 00:00:00-04:00,2,72.77499771118164
2006-06-06 00:00:00-04:00,2,72.56999969482422
2006-06-07 00:00:00-04:00,2,71.61000061035156
2006-06-08 00:00:00-04:00,2,70.60499954223633
2006-06-09 00:00:00-04:00,2,70.95499801635742
2006-06-12 00:00:00-04:00,2,70.97999954223633
2006-06-13 00:00:00-04:00,2,69.39999771118164
2006-06-14 00:00:00-04:00,2,68.79499816894531
2006-06-15 00:00:00-04:00,2,69.26499938964844
2006-06-16 00:00:00-04:00,2,69.72999954223633
2006-06-19 00:00:00-04:00,2,69.42500305175781
2006-06-20 00:00:00-04:00,2,68.97500228881836
2006-06-21 00:00:00-04:00,2,69.83499908447266
2006-06-22 00:00:00-04:00,2,70.83499908447266
2006-06-23 00:00:00-04:00,2,70.86000061035156
2006-06-26 00:00:00-04:00,2,71.2400016784668
2006-06-27 00:00:00-04:00,2,71.82999801635742
2006-06-28 00:00:00-04:00,2,72.05000305175781
2006-06-29 00:00:00-04:00,2,72.8599967956543
2006-06-30 00:00:00-04:00,2,73.74500274658203
2006-07-05 00:00:00-04:00,3,74.56999969482422
2006-07-06 00:00:00-04:00,3,75.16999816894531
2006-07-07 00:00:00-04:00,3,74.55499649047852
2006-07-10 00:00:00-04:00,3,73.71500015258789
2006-07-11 00:00:00-04:00,3,73.83500289916992
2006-07-12 00:00:00-04:00,3,74.48999786376953
2006-07-13 00:00:00-04:00,3,75.84000015258789
2006-07-14 00:00:00-04:00,3,76.8499984741211
2006-07-17 00:00:00-04:00,3,76.2750015258789
2006-07-18 00:00:00-04:00,3,74.36999893188477
2006-07-19 00:00:00-04:00,3,73.28000259399414
2006-07-20 00:00:00-04:00,3,73.04000091552734
2006-07-21 00:00:00-04:00,3,74.25
2006-07-24 00:00:00-04:00,3,74.94000244140625
2006-07-25 00:00:00-04:00,3,74.42499923706055
2006-07-26 00:00:00-04:00,3,73.87000274658203
2006-07-27 00:00:00-04:00,3,74.22000122070312
2006-07-28 00:00:00-04:00,3,73.86999893188477
2006-07-31 00:00:00-04:00,3,73.80500030517578
2006-08-01 00:00:00-04:00,3,74.65500259399414
2006-08-02 00:00:00-04:00,3,75.36499786376953
2006-08-03 00:00:00-04:00,3,75.72999954223633
2006-08-04 00:00:00-04:00,3,75.18000030517578
2006-08-07 00:00:00-04:00,3,75.7750015258789
2006-08-08 00:00:00-04:00,3,76.68000030517578
2006-08-09 00:00:00-04:00,3,76.34000015258789
2006-08-10 00:00:00-04:00,3,75.125
2006-08-11 00:00:00-04:00,3,74.17499923706055
2006-08-14 00:00:00-04:00,3,73.65999984741211
2006-08-15 00:00:00-04:00,3,73.21500015258789
2006-08-16 00:00:00-04:00,3,72.40999984741211
2006-08-17 00:00:00-04:00,3,70.85499954223633
2006-08-18 00:00:00-04:00,3,70.81000137329102
2006-08-21 00:00:00-04:00,3,71.83499908447266
2006-08-22 00:00:00-04:00,3,72.53999710083008
2006-08-23 00:00:00-04:00,3,72.30500030517578
2006-08-24 00:00:00-04:00,3,72.00500106811523
2006-08-25 00:00:00-04:00,3,72.65500259399414
2006-08-28 00:00:00-04:00,3,71.40499877929688
2006-08-29 00:00:00-04:00,3,70.08499908447266
2006-08-30 00:00:00-04:00,3,69.89999771118164
2006-08-31 00:00:00-04:00,3,70.33000183105469
2006-09-01 00:00:00-04:00,3,69.77000045776367
2006-09-04 00:00:00-04:00,3,68.6349983215332
2006-09-05 00:00:00-04:00,3,68.52499771118164
2006-09-06 00:00:00-04:00,3,68.07500076293945
2006-09-07 00:00:00-04:00,3,67.43500137329102
2006-09-08 00:00:00-04:00,3,66.7249984741211
2006-09-11 00:00:00-04:00,3,65.81000137329102
2006-09-12 00:00:00-04:00,3,64.67499732971191
2006-09-13 00:00:00-04:00,3,63.90500068664551
2006-09-14 00:00:00-04:00,3,63.744998931884766
2006-09-15 00:00:00-04:00,3,63.39000129699707
2006-09-18 00:00:00-04:00,3,63.64500045776367
2006-09-19 00:00:00-04:00,3,62.7549991607666
2006-09-20 00:00:00-04:00,3,61.079999923706055
2006-09-21 00:00:00-04:00,3,61.20000076293945
2006-09-22 00:00:00-04:00,3,61.1299991607666
2006-09-25 00:00:00-04:00,3,60.85000038146973
2006-09-26 00:00:00-04:00,3,61.224998474121094
2006-09-27 00:00:00-04:00,3,62.04999923706055
2006-09-28 00:00:00-04:00,3,62.875
2006-09-29 00:00:00-04:00,3,62.80500030517578
2006-10-02 00:00:00-04:00,4,61.91499900817871
2006-10-03 00:00:00-04:00,4,59.790000915527344
2006-10-04 00:00:00-04:00,4,58.954999923706055
