AC_TYPEID,AC_GROUP,SSD_NAME,LONG_NAME,SHORT_NAME,,
848,8,DOUGLAS DC-8-50,MCDONNELL DOUGLAS DC-8-50,DC-8-50,9,Used for capturing expenses not attributed to specific aircraft types
850,8,DOUGLAS DC-8-50F,MCDONNELL DOUGLAS DC-8-50F,DC-8-50F,,
851,8,DOUGLAS DC-8-61,MCDONNELL DOUGLAS DC-8-61,DC-8-61,,
852,8,DOUGLAS DC-8-63F,MCDONNELL DOUGLAS DC-8-63F,DC-8-63F,,
854,8,DOUGLAS DC-8-62,MCDONNELL DOUGLAS DC-8-62,DC-8-62,,
856,8,DOUGLAS DC-8-63,MCDONNELL DOUGLAS DC-8-63,DC-8-63,,
860,8,DOUGLAS DC-8-71,MCDONNELL DOUGLAS DC-8-71,DC-8-71,,
862,8,DOUGLAS DC-8-72,MCDONNELL DOUGLAS DC-8-72,DC-8-72,,
864,8,DOUGLAS DC-8-73,MCDONNELL DOUGLAS DC-8-73,DC-8-73,,
865,8,DOUGLAS DC-8-73F,MCDONNELL DOUGLAS DC-8-73F,DC-8-73F,,
866,8,BAE-146-100/RJ70,BRITISH AEROSPACE BAE-146-100/RJ70,BAE146-1,,
867,8,BAE-146-200,BRITISH AEROSPACE BAE-146-200,BAE146-2,,
868,8,BAE-146-300,BRITISH AEROSPACE BAE-146-300,BAE146-3,,
870,8,LOCKHEED JETSTAR,LOCKHEED JETSTAR,JETSTAR,,
871,8,A340-300,AIRBUS INDUSTRIE A340-300,A340-3,,
872,8,A340-500,AIRBUS INDUSTRIE A340-500,A340-5,,
873,8,A340-200,AIRBUS INDUSTRIE A340-200,A340-2,,
874,8,A340-600,AIRBUS INDUSTRIE A340-600,A340-6,,
875,8,CONCORDE,AEROSPATIALE/BRITISH AEROSPACE CONCORDE,CONCORDE,,
876,8,ILYUSHIN 62,ILYUSHIN 62,IL-62,,
877,8,ILYUSHIN 76/TD,ILYUSHIN 76/TD,IL-76/TD,,
878,8,ILYUSHIN 86,ILYUSHIN 86,IL-86,,
879,8,ILYUSHIN 96,ILYUSHIN 96,IL-96,,
880,8,ANTONOV 124,ANTONOV 124,AN-124,,
881,8,IL-96-40T,ILYUSHIIN IL-96-400T,IL-96-4T,,
882,8,A380-800,AIRBUS INDUSTRAI A380-800,A380-8,,
885,6,BOEING B737-MAX10,BOEING B737-MAX10,MAX10,,
887,6,B787-8 DREAMLINER,B787-800 DREAMLINER,B787-8,,
888,6,B737-900ER,BOEING 737-900ER,B737-9ER,,
889,6,B787-9 DREAMLINER,B787-900 DREAMLINER,B787-9,,
890,8,ANTONOV 225,ANTONOV 225 (6 ENGINE),AN-225,,
