S.No,Name,Ticker,Country
1,Allegiant Travel Company,ALGT,USA
2,"American Airlines Group, Inc.",AAL,USA
3,Frontier Group Holdings Inc,ULCC,USA
4,"Hawaiian Holdings, Inc.",HA,USA
5,JetBlue Airways Corporation,JBLU,USA
6,"Mesa Air Group, Inc.",MESA,USA
7,Ryanair Holdings plc,RYAAY,Ireland
8,"SkyWest, Inc.",SKYW,USA
9,Sun Country Airlines Holdings Inc,SNCY,USA
10,"United Airlines Holdings, Inc.",UAL,USA
