S.No.,Name,Ticker on US OTC Market/Exchanges,Ticker on Domestic Markets
1,Aegean Airlines S.A.,AGGNY,AEGN.AT
2,Air France-KLM,AFLYY,AF.PA
3,British Airways and Iberia-owner IAG,ICAGY,IAG.L
4,Easyjet,ESYJY,EZJ.L
5,Lufthansa,DLAKY,LHA.F
6,Norwegian Air Shuttle,,NAS.OL
7,Ryanair Holdings plc,RYAAY,RYA.L
8,Wizz Air,,WIZZ.L
