Year,quarter,Price
2006,1,53.37256796497807
2006,2,61.28638375247179
2006,3,60.99084381029177
2006,4,56.94166430981097
2007,1,53.63181244081247
2007,2,56.70207554799132
2007,3,46.50153892422102
2007,4,48.19333722373707
2008,1,35.08054999182382
2008,2,28.3722629939706
2008,3,17.414466294538723
2008,4,7.985277641602812
2009,1,7.871503200820147
2009,2,8.213680659919323
2009,3,16.84730935667672
2009,4,24.29150074019295
2010,1,26.15478793958388
2010,2,24.726404713807195
2010,3,27.434857887165336
2010,4,32.92529774903235
2011,1,28.282372863496352
2011,2,25.828188898397524
2011,3,16.585516717505577
2011,4,14.915230547983782
2012,1,15.249653187489491
2012,2,9.98689211258102
2012,3,9.681311005593034
2012,4,10.407118906668531
2013,1,13.731998395133319
2013,2,10.437458825836279
2013,3,7.6794289078928
2013,4,9.34530734450784
2014,1,9.030213069236938
2014,2,11.723570443248144
2014,3,11.991403831290205
2014,4,10.251866499108594
2015,1,7.803871659468204
2015,2,5.141554873793671
2015,3,2.9551827051349018
2015,4,1.7207125988857304
2016,1,1.1525757121728142
2016,2,1.512749227989207
2016,3,3.53349494189318
2016,4,3.688215544286807
2017,1,4.650535844517298
2017,2,5.54367452589332
2017,3,6.745859611478732
2017,4,8.787619195309341
2018,1,11.132588763496303
2018,2,9.109372335328386
2018,3,5.985215828754085
2018,4,10.060807546115523
2019,1,13.932751296074047
2019,2,13.235694236630831
2019,3,18.38550778850913
2019,4,16.984404817460074
