Year,quarter,Price
2011,2,11.080265477960872
2011,3,11.492639595489315
2011,4,14.363400616324306
2012,1,16.65804124460583
2012,2,19.523254082060745
2012,3,18.456491056084587
2012,4,15.924491631303606
2013,1,19.549530743891957
2013,2,26.707727275232404
2013,3,30.78538007908704
2013,4,39.58440611874379
2014,1,48.79415220095737
2014,2,54.87528163183763
2014,3,63.676436227514664
2014,4,66.61582827923527
2015,1,71.35914836360222
2015,2,63.544838075025524
2015,3,52.21345205546116
2015,4,37.86158960382335
2016,1,41.52309709858855
2016,2,41.409488750687466
2016,3,38.639339202600105
2016,4,47.86588028759269
2017,1,49.771060211709795
2017,2,50.94998670217464
2017,3,37.32798479210349
2017,4,35.72774828982841
2018,1,39.09378072502577
2018,2,34.4455015914846
2018,3,41.074372923148836
2018,4,49.85771268794296
2019,1,53.585866167174274
2019,2,47.3820254533424
2019,3,39.12282922184801
2019,4,35.36520709965355
