Year,quarter,Price
2006,1,21.503712758969442
2006,2,20.868000392827522
2006,3,24.507161054096326
2006,4,35.344528709137656
2007,1,42.04338485795939
2007,2,46.45715715359255
2007,3,39.71976184119537
2007,4,34.82073256014996
2008,1,26.710128553052343
2008,2,27.129219224580382
2008,3,24.27064964426584
2008,4,14.787187483161688
2009,1,10.117745897809012
2009,2,12.87626982870556
2009,3,14.510351568460464
2009,4,16.653632786124945
2010,1,15.513237714767456
2010,2,13.951309556052799
2010,3,14.0460937730968
2010,4,18.047070305794477
2011,1,17.429153219346077
2011,2,16.32353177524748
2011,3,10.483906222507358
2011,4,6.342738108029441
2012,1,5.991370949052995
2012,2,4.590793669223785
2012,3,5.323650799100361
2012,4,8.52399193663751
2013,1,10.666791677474976
2013,2,9.530000049620867
2013,3,8.59882815554738
2013,4,10.059023469686508
2014,1,12.837704900835382
2014,2,14.736309524566408
2014,3,10.84394533187151
2014,4,9.11929689347744
2015,1,8.411557392995865
2015,2,8.336031751027184
2015,3,7.0365624986588955
2015,4,7.1209375113248825
2016,1,8.660573785422278
2016,2,8.259296840056777
2016,3,5.781015627086163
2016,4,5.630317460922968
2017,1,6.4622177520105915
2017,2,10.235079384985424
2017,3,14.980992067427863
2017,4,14.921547632368783
2018,1,13.621434395430517
2018,2,9.175898432731628
2018,3,9.552777816378882
2018,4,10.349127027723524
2019,1,11.853524595010477
2019,2,10.164642871372283
2019,3,10.558906208723783
2019,4,11.344047637212844
