fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
2004-09-30,2004-11-10,-0.0585,,,,3
2004-06-30,2004-08-17,-0.0875,,,,2
2004-03-31,2004-04-22,-0.044,,,,1
2003-12-31,2004-03-25,-0.02,,,,4
2003-09-30,2003-11-14,-0.0187,,,,3
2003-06-30,2003-08-15,-0.0158,,,,2
2003-03-31,2003-05-20,-0.5451,,,,1
2002-12-31,2002-12-31,-0.53,,,,4
2002-09-30,2002-09-30,0.2277,,,,3
2002-06-30,2002-08-13,-0.92,0.06,-0.98,-1633.3333,2
2002-03-31,2002-04-01,-0.03,-0.01,-0.02,-200.0,1
2001-12-31,2002-03-31,-0.03,,,,4
2001-09-30,2001-09-30,0.3488,,,,3
2001-06-30,2001-06-30,0.0864,,,,2
2001-03-31,2001-03-31,0.0064,,,,1
2000-12-31,2000-12-31,-0.58,,,,4
2000-09-30,2000-11-14,0.33,0.14,0.19,135.7143,3
2000-06-30,2000-08-09,0.11,0.02,0.09,450.0,2
2000-03-31,2000-05-03,-0.06,-0.03,-0.03,-100.0,1
1999-12-31,2000-03-21,-0.06,-0.03,-0.03,-100.0,4
1999-09-30,1999-11-04,0.08,0.11,-0.03,-27.2727,3
1999-06-30,1999-08-11,0.1,0.06,0.04,66.6667,2
1999-03-31,1999-03-31,0.0185,,,,1
1998-12-31,1998-12-31,0.0055,,,,4
1998-09-30,1998-09-30,0.1425,,,,3
1998-06-30,1998-06-30,0.0697,,,,2
1998-03-31,1998-05-07,-0.03,0.05,-0.08,-160.0,1
