Date of Data: Year,Date of Data: Month,Origin Airport: Alpha Code,Origin Airport: Unique Numeric Code,Destination Airport: Alpha Code,Destination Airport: Numeric Code,Carrier: Alpha Code,Distance,Aircraft Type: Type,Departures Performed,Departures Scheduled,Available Capacity: Payload Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2018,3,MCO,31454,CNF,30610,AD,4141,96,14.0,0,1436030.0,3752.0,3010.0,284053.0,0,0,0,1
2018,1,MCO,31454,CNF,30610,AD,4141,96,18.0,0,1799112.0,4824.0,4601.0,431587.0,0,0,0,1
2018,2,MCO,31454,CNF,30610,AD,4141,96,14.0,0,1431676.0,3752.0,3523.0,308356.0,0,0,0,1
2018,4,MCO,31454,CNF,30610,AD,4141,96,12.0,0,1227008.0,3216.0,2767.0,273887.0,0,0,0,2
2018,9,MCO,31454,CNF,30610,AD,4141,96,13.0,0,1322429.0,3523.0,3023.0,463729.0,0,0,0,3
2018,6,MCO,31454,CNF,30610,AD,4141,96,13.0,0,1338242.0,3484.0,3094.0,345640.0,0,0,0,2
2018,5,MCO,31454,CNF,30610,AD,4141,96,14.0,0,1358738.0,3752.0,3634.0,356400.0,0,0,0,2
2018,8,MCO,31454,CNF,30610,AD,4141,96,13.0,0,1319820.0,3484.0,2779.0,354081.0,0,0,0,3
2018,7,MCO,31454,CNF,30610,AD,4141,96,13.0,0,1335512.0,3484.0,3356.0,370984.0,0,0,0,3
2017,12,MCO,31454,REC,34496,AD,3987,96,16.0,0,1650339.0,4291.0,3945.0,333612.0,0,0,0,4
2017,12,MCO,31454,REC,34496,AD,3987,96,2.0,0,204398.0,536.0,325.0,25122.0,0,0,0,4
2017,11,MCO,31454,REC,34496,AD,3987,96,16.0,0,1334443.0,3718.0,3464.0,305844.0,0,0,0,4
2017,10,MCO,31454,REC,34496,AD,3987,96,18.0,0,1489492.0,4016.0,3797.0,349890.0,0,0,0,4
2018,6,MCO,31454,REC,34496,AD,3987,96,17.0,0,1756284.0,4556.0,3767.0,304572.0,0,0,0,2
2018,5,MCO,31454,REC,34496,AD,3987,96,18.0,0,1592294.0,4824.0,4658.0,375102.0,0,0,0,2
