fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2000-09-30,2000-11-14,0.33,0.14,0.19,135.7143
2000-06-30,2000-08-09,0.11,0.02,0.09,450
2000-03-31,2000-05-03,-0.06,-0.03,-0.03,-100
1999-12-31,2000-03-21,-0.06,-0.03,-0.03,-100
1999-09-30,1999-11-04,0.08,0.11,-0.03,-27.2727
1999-06-30,1999-08-11,0.1,0.06,0.04,66.6667
1999-03-31,1999-03-31,0.0185,None,None,None
1998-12-31,1998-12-31,0.0055,None,None,None
1998-09-30,1998-09-30,0.1425,None,None,None
1998-06-30,1998-06-30,0.0697,None,None,None
1998-03-31,1998-05-07,-0.03,0.05,-0.08,-160
