S.No.,Name,Ticker on US OTC Market/Exchanges,Ticker on Domestic Markets
2,Air France-KLM,AFLYY,AF.PA
3,British Airways and Iberia-owner IAG,ICAGY,IAG.L
4,Easyjet,ESYJY,EZJ.L
5,Lufthansa,DLAKY,LHA.F
6,Ryanair Holdings plc,RYAAY,RYA.L
