Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-11-18 00:00:00-05:00,4.492227554321289,4.492227554321289,4.492227554321289,4.492227554321289,1000,0.0,0.0
1996-11-19 00:00:00-05:00,4.641968727111816,4.641968727111816,4.4173573370902774,4.641968727111816,7700,0.0,0.0
1996-11-20 00:00:00-05:00,4.641968727111816,4.641968727111816,4.641968727111816,4.641968727111816,0,0.0,0.0
1996-11-21 00:00:00-05:00,4.520303726196289,4.64196821572124,4.492227305536685,4.520303726196289,13600,0.0,0.0
1996-11-22 00:00:00-05:00,4.641968727111816,4.641968727111816,4.49222780043079,4.641968727111816,1900,0.0,0.0
1996-11-25 00:00:00-05:00,4.6138916015625,4.67004444052675,4.6138916015625,4.6138916015625,13000,0.0,0.0
1996-11-26 00:00:00-05:00,4.941450119018555,5.01632057536732,4.7917092063210225,4.941450119018555,3200,0.0,0.0
1996-11-27 00:00:00-05:00,5.09119176864624,5.09119176864624,4.969527259469032,5.09119176864624,1200,0.0,0.0
1996-11-29 00:00:00-05:00,5.01632022857666,5.01632022857666,5.01632022857666,5.01632022857666,500,0.0,0.0
1996-12-02 00:00:00-05:00,5.01632022857666,5.01632022857666,5.01632022857666,5.01632022857666,2900,0.0,0.0
1996-12-03 00:00:00-05:00,4.791710376739502,4.941451326012611,4.791710376739502,4.791710376739502,2700,0.0,0.0
1996-12-04 00:00:00-05:00,4.716838359832764,4.866579260144915,4.716838359832764,4.716838359832764,1300,0.0,0.0
1996-12-05 00:00:00-05:00,4.941450119018555,4.941450119018555,4.941450119018555,4.941450119018555,300,0.0,0.0
1996-12-06 00:00:00-05:00,4.716838359832764,4.716838359832764,4.417356559208462,4.716838359832764,8900,0.0,0.0
1996-12-09 00:00:00-05:00,4.716838359832764,4.791708809988839,4.548379846981594,4.716838359832764,73600,0.0,0.0
1996-12-10 00:00:00-05:00,4.791710376739502,4.791710376739502,4.791710376739502,4.791710376739502,4300,0.0,0.0
